ring_number;age;sex;forearm_mm;mass_g;tissue_samples;bat_box;single_wing_area_cm2;wing_area_cm2;single_wing span_cm;tip_to_tip_wing_span_cm
A144432;sub;M;52.2;26.5;;28;84.753;169.506;17.837;35.674
A144433;ad;M;55;31;;28;85.019;170.038;18.102;36.204
A144434;ad;M;53;28;;28;86.28;172.56;18.741;37.482
A144435;sub;M;52.8;29;;28;86.783;173.566;18.972;37.944
A144436;sub;M;53.5;28;;28;82.692;165.384;18.78;37.56
A144437;sub;M;53.8;29;;28;85.4;170.8;18.662;37.324
A144438;sub;M;53.5;27;;28;81.913;163.826;18.091;36.182
A144439;sub;M;53;27;;28;81.643;163.286;17.789;35.578
A144440;sub;M;52.4;27;;28;81.537;163.074;17.714;35.428
A144441;sub;M;53.2;28;;28;81.237;162.474;17.762;35.524
A144442;ad;M;50;27;;49;75.49;150.98;17.835;35.67
A144443;sub;M;54.9;27;;19;85.741;171.482;18.85;37.7
A144444;sub;M;52.3;30;;19;84.445;168.89;18.529;37.058
A144445;ad;M;54.2;28;;19;83.714;167.428;18.004;36.008
A144446;sub;M;52.6;26;;19;80.476;160.952;17.546;35.092
A144447;ad;M;53.7;29;;19;80.002;160.004;17.999;35.998
A144448;sub;M;52.8;29;;19;70.204;140.408;17.276;34.552
A144449;sub;M;54.1;27;;19;82.288;164.576;18.403;36.806
A144450;sub;M;55.2;24;;19;83.386;166.772;18.369;36.738
A144451;sub;M;54.3;28;;19;83.348;166.696;18.7;37.4
A144452;sub;M;51.7;28;;19;75.883;151.766;16.876;33.752
A169129;ad;M;52.7;31;A1, A2;28;77.772;155.544;18.187;36.374
A169169;ad;M;53.2;31;;28;79.994;159.988;17.575;35.15
A169273;sub;M;53.7;30;B1,B2;28;78.264;156.528;17.683;35.366
